	number	city	City	region	population	description	first_letter	last_letter
0	1	абаза	Абаза	Хакасия	12272	"Абаза́ — город в Республике Хакасия России.
"	а	а
1	2	абакан	Абакан	Хакасия	184769	"Абака́н (хак. Ағбан) — город в России. Административный центр Хакасии. Город республиканского значения[2], образующий одноимённое муниципальное образование город Абакан со статусом городского округа, как единственный населённый пункт в его составе[3][4].
"	а	н
2	3	абдулино	Абдулино	Оренбургская область	17274	"Абду́лино — город в России, в Оренбургской области. Город является административным центром Абдулинского района (в состав которого не входит, является самостоятельной единицей области) и Абдулинского городского округа.
"	а	о
3	4	абинск	Абинск	Краснодарский край	39511	"Аби́нск — город на юге России, в Краснодарском крае. Административный центр Абинского муниципального района, в составе которого образует Абинское городское поселение[2].
"	а	к
4	5	агидель	Агидель	Башкортостан	14219	"Агиде́ль (башк. Ағиҙел  слушать) — город (с 1991) в Республике Башкортостан (Россия). Город республиканского значения, образует городской округ город Агидель[2].
"	а	л
5	6	агрыз	Агрыз	Татарстан	19991	"Агры́з (тат. Әгерҗе, Ägerce) — город в Республике Татарстан России. Административный центр Агрызского района. Образует муниципальное образование город Агрыз со статусом городского поселения как единственный населённый пункт в его составе[2][3].
"	а	з
6	7	адыгейск	Адыгейск	Адыгея	13175	"Адыге́йск (адыг. Адыгэкъал[2]) — город на юге России, в Республике Адыгея[3]. Административный центр городского округа город Адыгейск[4], образованного в границах Адыгейского республиканского городского округа[5].
"	а	к
7	8	азнакаево	Азнакаево	Татарстан	34750	"Азнака́ево (тат.  Азнака́й) — город в Республике Татарстан России. Административный центр Азнакаевского района. Образует муниципальное образование город Азнакаево со статусом городского поселения как единственный населённый пункт в его составе[3]. Входит в полицентрическую Альметьевскую (Альметьевско-Бугульминскую) агломерацию.
"	а	о
8	9	азов	Азов	Ростовская область	81924	"Азо́в (прежние наименования Азак (XIII—XIV вв.), Тана (XV—XVI вв.)) — город в Ростовской области России.
"	а	в
9	10	ак-довурак	Ак-Довурак	Тыва	12456	"Ак-Довура́к — город в Республике Тыва Российской Федерации. Образует городской округ город Ак-Довурак. Город республиканского значения.
"	а	к
